Date and time (UTC),power_conso_bat_a,power_conso_bat_b,power_conso_bat_c,power_conso_bat_d,pv_real,pv_arpege,airtemp_arpege
2025-01-01 00:00:00+00:00,1.22,1.83,7.01,1.954,-0.0,0.0,0.0
2025-01-01 00:05:00+00:00,1.14,1.91,6.74,1.791,-0.0,0.0,0.0
2025-01-01 00:10:00+00:00,1.24,3.84,7.76,1.778,-0.0,0.0,0.0
2025-01-01 00:15:00+00:00,1.15,3.91,6.64,1.727,-0.0,0.0,0.0
2025-01-01 00:20:00+00:00,1.1,2.28,6.18,1.801,-0.0,0.0,0.0
2025-01-01 00:25:00+00:00,1.22,4.4,5.57,1.796,-0.0,0.0,0.0
2025-01-01 00:30:00+00:00,1.16,5.68,5.48,1.695,-0.0,0.0,0.0
2025-01-01 00:35:00+00:00,1.38,3.38,6.42,1.45,-0.0,0.0,0.0
2025-01-01 00:40:00+00:00,1.54,2.94,7.17,1.457,-0.0,0.0,0.0
2025-01-01 00:45:00+00:00,1.62,4.09,6.0,1.591,-0.0,0.0,0.0
2025-01-01 00:50:00+00:00,1.46,2.98,6.64,1.57,-0.0,0.0,0.0
2025-01-01 00:55:00+00:00,1.64,1.59,5.48,1.706,-0.0,0.0,0.0
2025-01-01 01:00:00+00:00,1.68,1.53,7.16,1.788,-0.0,0.0,0.0
2025-01-01 01:05:00+00:00,1.72,2.69,5.52,2.047,-0.0,0.0,0.0
2025-01-01 01:10:00+00:00,1.56,2.16,5.44,2.224,-0.0,0.0,0.0
2025-01-01 01:15:00+00:00,1.28,2.41,6.96,2.038,-0.0,0.0,0.0
2025-01-01 01:20:00+00:00,1.2,1.75,6.16,1.937,-0.0,0.0,0.0
2025-01-01 01:25:00+00:00,1.35,1.54,7.76,1.865,-0.0,0.0,0.0
2025-01-01 01:30:00+00:00,1.5,1.79,6.64,1.868,-0.0,0.0,0.0
2025-01-01 01:35:00+00:00,1.23,1.57,5.94,1.754,-0.0,0.0,0.0
2025-01-01 01:40:00+00:00,1.17,2.03,5.05,1.833,-0.0,0.0,0.0
2025-01-01 01:45:00+00:00,1.13,2.24,5.54,1.937,-0.0,0.0,0.0
2025-01-01 01:50:00+00:00,1.14,1.4,5.21,1.87,-0.0,0.0,0.0
2025-01-01 01:55:00+00:00,1.29,1.38,5.46,1.789,-0.0,0.0,0.0
2025-01-01 02:00:00+00:00,1.22,1.56,5.34,1.832,-0.0,0.0,0.0
2025-01-01 02:05:00+00:00,1.39,1.25,5.64,1.923,-0.0,0.0,0.0
2025-01-01 02:10:00+00:00,1.43,1.43,5.29,2.067,-0.0,0.0,0.0
2025-01-01 02:15:00+00:00,1.29,1.64,5.14,2.153,-0.0,0.0,0.0
2025-01-01 02:20:00+00:00,1.34,1.49,5.25,2.061,-0.0,0.0,0.0
