Date and time (UTC),power_conso_bat_a,power_conso_bat_b,power_conso_bat_c,power_conso_bat_d,pv_real,pv_arpege,airtemp_arpege
2025-01-29 00:05:00+00:00,1.34,1.2,8.1,2.38,-0.0,0.0,0.0
2025-01-29 00:10:00+00:00,1.41,1.25,6.59,2.244,-0.0,0.0,0.0
2025-01-29 00:15:00+00:00,1.52,1.31,6.7,2.613,-0.0,0.0,0.0
2025-01-29 00:20:00+00:00,1.49,1.28,6.29,2.408,-0.0,0.0,0.0
2025-01-29 00:25:00+00:00,1.27,1.16,6.88,2.344,-0.0,0.0,0.0
2025-01-29 00:30:00+00:00,1.28,1.18,6.19,2.214,-0.0,0.0,0.0
2025-01-29 00:35:00+00:00,1.25,1.19,6.37,2.042,-0.0,0.0,0.0
2025-01-29 00:40:00+00:00,1.37,1.11,6.07,1.926,-0.0,0.0,0.0
2025-01-29 00:45:00+00:00,1.38,1.26,6.16,1.943,-0.0,0.0,0.0
2025-01-29 00:50:00+00:00,1.39,1.29,6.01,2.125,-0.0,0.0,0.0
2025-01-29 00:55:00+00:00,1.29,1.46,6.13,2.333,-0.0,0.0,0.0
2025-01-29 01:00:00+00:00,1.5,1.6,6.16,2.282,-0.0,0.0,0.0
2025-01-29 01:05:00+00:00,1.48,1.58,5.88,2.17,-0.0,0.0,0.0
2025-01-29 01:10:00+00:00,1.39,1.56,5.84,2.063,-0.0,0.0,0.0
2025-01-29 01:15:00+00:00,1.27,1.51,5.9,2.057,-0.0,0.0,0.0
2025-01-29 01:20:00+00:00,1.29,1.3,6.07,2.12,-0.0,0.0,0.0
2025-01-29 01:25:00+00:00,1.37,1.3,5.92,2.046,-0.0,0.0,0.0
2025-01-29 01:30:00+00:00,1.45,1.27,6.25,1.928,-0.0,0.0,0.0
2025-01-29 01:35:00+00:00,1.43,1.29,5.72,2.026,-0.0,0.0,0.0
2025-01-29 01:40:00+00:00,1.29,1.19,5.92,1.857,-0.0,0.0,0.0
2025-01-29 01:45:00+00:00,1.41,1.26,5.54,1.839,-0.0,0.0,0.0
2025-01-29 01:50:00+00:00,1.31,1.19,6.44,1.879,-0.0,0.0,0.0
2025-01-29 01:55:00+00:00,1.29,1.22,6.74,2.245,-0.0,0.0,0.0
2025-01-29 02:00:00+00:00,1.31,1.27,6.21,2.078,-0.0,0.0,0.0
2025-01-29 02:05:00+00:00,1.33,1.2,5.76,2.123,-0.0,0.0,0.0
2025-01-29 02:10:00+00:00,1.39,1.16,5.83,2.115,-0.0,0.0,0.0
2025-01-29 02:15:00+00:00,1.24,1.09,5.45,2.143,-0.0,0.0,0.0
2025-01-29 02:20:00+00:00,1.21,1.09,6.09,2.125,-0.0,0.0,0.0
2025-01-29 02:25:00+00:00,1.2,1.17,6.0,1.916,-0.0,0.0,0.0
2025-01-29 02:30:00+00:00,1.17,1.41,5.51,1.978,-0.0,0.0,0.0
2025-01-29 02:35:00+00:00,1.21,1.58,5.23,2.084,-0.0,0.0,0.0
2025-01-29 02:40:00+00:00,1.23,1.66,5.28,1.946,-0.0,0.0,0.0
2025-01-29 02:45:00+00:00,1.26,1.51,5.11,2.058,-0.0,0.0,0.0
2025-01-29 02:50:00+00:00,1.37,0.95,4.75,2.493,-0.0,0.0,0.0
2025-01-29 02:55:00+00:00,1.12,0.95,4.51,2.935,-0.0,0.0,0.0
2025-01-29 03:00:00+00:00,1.1,1.09,5.17,2.584,-0.0,0.0,0.0
2025-01-29 03:05:00+00:00,1.22,1.16,5.01,2.265,-0.0,0.0,0.0
2025-01-29 03:10:00+00:00,1.21,1.26,5.49,2.378,-0.0,0.0,0.0
2025-01-29 03:15:00+00:00,1.1,1.29,5.25,2.185,-0.0,0.0,0.0
2025-01-29 03:20:00+00:00,1.02,1.21,5.65,1.993,-0.0,0.0,0.0
2025-01-29 03:25:00+00:00,1.16,1.18,5.23,1.943,-0.0,0.0,0.0
2025-01-29 03:30:00+00:00,1.13,1.24,5.35,1.881,-0.0,0.0,0.0
2025-01-29 03:35:00+00:00,1.12,1.16,5.38,1.828,-0.0,0.0,0.0
2025-01-29 03:40:00+00:00,1.15,1.28,5.38,2.099,-0.0,0.0,0.0
2025-01-29 03:45:00+00:00,1.21,1.12,5.35,1.9,-0.0,0.0,0.0
2025-01-29 03:50:00+00:00,1.32,1.03,4.89,1.934,-0.0,0.0,0.0
2025-01-29 03:55:00+00:00,1.28,1.05,4.98,2.048,-0.0,0.0,0.0
2025-01-29 04:00:00+00:00,1.3,0.96,5.0,1.98,-0.0,0.0,0.0
2025-01-29 04:05:00+00:00,1.07,0.94,5.18,2.055,-0.0,0.0,0.0
2025-01-29 04:10:00+00:00,0.99,1.0,5.13,1.999,-0.0,0.0,0.0
2025-01-29 04:15:00+00:00,1.06,1.0,5.54,1.98,-0.0,0.0,0.0
2025-01-29 04:20:00+00:00,1.03,0.92,5.79,1.922,-0.0,0.0,0.0
2025-01-29 04:25:00+00:00,1.03,1.03,5.61,1.797,-0.0,0.0,0.0
2025-01-29 04:30:00+00:00,1.04,0.95,5.24,1.764,-0.0,0.0,0.0
2025-01-29 04:35:00+00:00,1.15,0.91,5.73,1.79,-0.0,0.0,0.0
2025-01-29 04:40:00+00:00,1.34,1.15,5.81,1.763,-0.0,0.0,0.0
2025-01-29 04:45:00+00:00,1.26,1.03,5.68,1.791,-0.0,0.0,0.0
2025-01-29 04:50:00+00:00,1.23,1.0,5.55,1.874,-0.0,0.0,0.0
2025-01-29 04:55:00+00:00,1.16,0.94,5.48,2.055,-0.0,0.0,0.0
2025-01-29 05:00:00+00:00,1.2,1.05,5.15,2.109,-0.0,0.0,0.0
2025-01-29 05:05:00+00:00,1.14,1.03,5.4,2.092,-0.0,0.0,0.0
2025-01-29 05:10:00+00:00,1.09,1.15,5.28,2.051,-0.0,0.0,0.0
2025-01-29 05:15:00+00:00,1.15,1.18,5.61,1.972,-0.0,0.0,0.0
2025-01-29 05:20:00+00:00,1.18,1.14,5.63,1.9,-0.0,0.0,0.0
2025-01-29 05:25:00+00:00,1.15,0.84,5.76,2.093,-0.0,0.0,0.0
2025-01-29 05:30:00+00:00,1.19,0.8,5.47,2.168,-0.0,0.0,0.0
2025-01-29 05:35:00+00:00,1.31,0.81,5.64,1.991,-0.0,0.0,0.0
2025-01-29 05:40:00+00:00,1.37,1.17,5.4,2.019,-0.0,0.0,0.0
2025-01-29 05:45:00+00:00,1.27,1.18,5.63,1.907,-0.0,0.0,0.0
2025-01-29 05:50:00+00:00,1.18,1.19,5.37,1.92,-0.0,0.0,0.0
2025-01-29 05:55:00+00:00,1.02,1.08,5.66,1.906,-0.0,0.0,0.0
2025-01-29 06:00:00+00:00,1.05,1.05,5.52,1.867,-0.0,0.0,0.0
2025-01-29 06:05:00+00:00,0.99,1.04,5.41,1.886,-0.0,0.0,0.0
2025-01-29 06:10:00+00:00,2.6,1.11,5.17,1.829,-0.0,0.0,0.0
