Date and time (UTC),Global_Solar_Flux,Direct_Solar_Flux,Diffuse_Solar_Flux,TGBT,T1,T2,T3,T4,T5,T6,T7,SZA,SAA,Pmax,Vmax,Imax,Voc,Isc,Tp,POA,AirTemp,wd,ws,rh,rain,GLO_ARP_J1,T2_ARP_J1,RH_ARP_J1,PMAX_ARP_J1,TPV_ARP_J1,Consommation,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique
2016-07-29 00:00:00+00:00,-0.99,-0.46,-1.13,7.75,1.05,1.42,0.15,1.44,0.77,0.26,2.45,90.0,-177.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.83,231.48,3.41,75.51,0.0,0.0,18.93,79.55,0.0,0.0,40860.23,131.77,16.23,1399.33,38046.7,1450.33,-1.0,4683.43,-953.27,1055.67,-4968.2,36.0,-221.0,-2400.0,-2722.0,-380.0,1229.0
2016-07-29 00:15:00+00:00,-0.77,-0.33,-0.92,7.92,1.05,1.43,0.17,1.43,0.77,0.26,2.6,90.0,-173.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63,230.36,3.46,76.76,0.0,0.0,19.43,73.65,0.0,0.0,40590.73,131.27,16.73,1404.33,37883.2,1425.33,-1.0,4527.93,-1035.27,1050.67,-4812.2,36.0,-221.0,-2400.0,-2722.0,-380.0,1229.0
2016-07-29 00:30:00+00:00,-0.8,-0.34,-0.99,7.57,1.05,1.43,0.2,1.39,0.82,0.26,2.17,90.0,-169.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.45,234.55,3.77,78.36,0.0,0.0,19.65,70.7,0.0,0.0,40015.1,130.77,17.0,1383.43,37689.6,1412.0,-1.0,4422.13,-1215.5,1047.77,-4871.33,36.0,-220.07,-2400.0,-2722.0,-661.87,1102.3
2016-07-29 00:45:00+00:00,-0.69,-0.32,-0.81,8.45,1.05,1.43,0.23,1.43,1.21,0.26,2.63,90.0,-166.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,227.03,3.31,79.8,0.0,0.0,19.55,71.12,0.0,0.0,39089.6,130.27,17.0,1332.93,37461.6,1412.0,-1.0,4373.13,-1508.0,1047.27,-5176.33,36.0,-218.07,-2400.0,-2722.0,-1265.87,830.8
2016-07-29 01:00:00+00:00,-0.49,-0.19,-0.58,8.1,1.05,1.44,0.2,1.4,0.77,0.26,2.79,90.0,-162.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.22,236.54,2.9,80.56,0.0,0.0,19.45,71.55,0.0,0.0,38399.53,130.0,17.0,1330.5,37430.77,1413.17,-1.0,4363.8,-1765.5,1047.47,-5567.9,36.23,-217.0,-2400.0,-2722.0,-1588.0,686.0
2016-07-29 01:15:00+00:00,-0.51,-0.17,-0.59,8.12,1.05,1.43,0.6,1.43,0.79,0.26,2.32,90.0,-158.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.16,239.33,2.5,81.04,0.0,0.0,19.35,71.97,0.0,0.0,37978.53,130.0,17.0,1383.0,37625.27,1415.67,-1.0,4399.8,-1983.0,1048.47,-6058.4,36.73,-217.0,-2400.0,-2722.0,-1588.0,686.0
2016-07-29 01:30:00+00:00,-0.79,-0.32,-0.89,8.42,1.05,1.44,0.26,1.47,1.28,0.26,2.46,90.0,-154.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04,237.28,2.92,81.91,0.0,0.0,19.24,72.81,0.0,0.0,37638.03,130.23,17.0,1403.3,37684.67,1427.97,-1.0,4388.9,-2101.33,1048.07,-6361.53,37.0,-287.0,-2400.0,-2722.0,-1540.4,625.33
2016-07-29 01:45:00+00:00,-0.65,-0.32,-0.77,7.99,1.04,1.43,0.24,1.42,0.76,0.26,2.61,90.0,-151.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,241.84,2.86,82.6,0.0,0.0,19.12,74.11,0.0,0.0,37389.53,130.73,17.0,1386.8,37589.67,1451.47,-1.0,4324.4,-2106.33,1046.07,-6450.53,37.0,-437.0,-2400.0,-2722.0,-1438.4,495.33
2016-07-29 02:00:00+00:00,-0.62,-0.26,-0.71,7.8,1.04,1.44,0.22,1.41,0.77,0.26,2.45,90.0,-147.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95,231.45,2.46,82.97,0.0,0.0,18.99,75.41,0.0,0.0,37236.47,130.77,17.47,1390.83,37517.77,1459.8,-1.0,4298.4,-2108.3,1043.6,-6513.87,37.0,-517.0,-2400.0,-2722.0,-1384.0,426.0
2016-07-29 02:15:00+00:00,-0.62,-0.28,-0.67,9.73,1.06,2.33,0.23,1.43,1.25,0.26,2.86,90.0,-144.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82,223.72,2.08,83.79,0.0,0.0,18.87,76.71,0.0,0.0,37192.47,130.27,18.47,1418.33,37472.27,1450.8,-1.0,4316.4,-2106.8,1040.6,-6547.87,37.0,-517.0,-2400.0,-2722.0,-1384.0,426.0
