Date and time (UTC),Global_Solar_Flux,Direct_Solar_Flux,Diffuse_Solar_Flux,TGBT,T1,T2,T3,T4,T5,T6,T7,SZA,SAA,Pmax,Vmax,Imax,Voc,Isc,Tp,POA,AirTemp,wd,ws,rh,rain,GLO_ARP_J1,T2_ARP_J1,RH_ARP_J1,PMAX_ARP_J1,TPV_ARP_J1,Consommation,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique
2018-12-01 00:00:00+00:00,-1.0,-0.49,-1.02,29.03,2.69,4.47,1.66,1.0,3.68,0.97,9.28,90.0,-166.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,231.16,3.57,89.48,0.0,0.0,5.85,98.35,0.0,0.0,57580.6,567.07,580.67,6770.23,47091.23,4273.63,-1.0,3346.83,-1045.7,1137.77,-5139.13,71.47,-1603.0,-2259.0,-1832.0,-1278.0,1874.0
2018-12-01 00:15:00+00:00,-0.79,-0.38,-0.8,29.61,2.69,3.29,1.7,1.02,3.9,0.99,11.04,90.0,-158.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77,229.08,3.27,88.63,0.0,0.0,5.43,98.25,0.0,0.0,57202.6,565.07,590.67,6875.73,46836.73,4307.13,-1.0,3524.33,-1332.2,1137.27,-5300.13,72.47,-1603.0,-2259.0,-1832.0,-1278.0,1874.0
2018-12-01 00:30:00+00:00,-0.83,-0.48,-0.8,29.57,2.69,2.78,1.65,1.08,3.83,1.0,11.75,90.0,-151.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,231.73,3.46,88.81,0.0,0.0,5.18,98.33,0.0,0.0,56838.13,563.3,596.47,6942.03,46664.37,4303.53,-1.0,3563.0,-1588.83,1137.7,-5341.43,73.47,-1603.0,-2231.7,-1832.0,-1430.83,2088.2
2018-12-01 00:45:00+00:00,-0.85,-0.48,-0.88,33.0,2.66,5.16,1.7,1.03,3.95,1.01,12.13,90.0,-145.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,227.84,3.25,90.04,0.0,0.0,5.13,98.6,0.0,0.0,56489.13,561.8,597.47,6963.53,46585.87,4257.53,-1.0,3443.0,-1811.33,1139.2,-5245.93,74.47,-1603.0,-2173.2,-1832.0,-1758.33,2547.2
2018-12-01 01:00:00+00:00,-1.01,-0.57,-1.02,31.95,2.66,4.55,1.65,1.03,3.94,0.95,11.84,90.0,-139.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.21,226.66,2.94,90.86,0.0,0.0,5.08,98.88,0.0,0.0,56108.87,544.9,595.9,6814.93,46522.53,4206.63,-1.0,3384.83,-1923.0,1140.93,-5176.8,74.07,-1603.0,-2142.0,-1832.0,-1933.0,2786.63
2018-12-01 01:15:00+00:00,-1.04,-0.53,-1.06,34.02,5.27,4.37,1.72,1.0,3.96,1.01,11.66,90.0,-133.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,224.8,2.48,91.62,0.0,0.0,5.03,99.15,0.0,0.0,55692.87,510.4,591.4,6471.93,46476.53,4150.13,-1.0,3397.33,-1908.0,1142.93,-5137.8,72.07,-1603.0,-2142.0,-1832.0,-1933.0,2775.13
2018-12-01 01:30:00+00:00,-1.03,-0.48,-1.05,37.81,7.08,3.19,1.73,1.04,4.04,1.01,14.79,90.0,-128.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,217.9,2.82,92.33,0.0,0.0,5.05,99.1,0.0,0.0,55040.5,490.6,558.67,6253.77,46388.3,4123.97,-1.0,3285.7,-2099.27,1142.83,-5102.3,70.77,-1579.9,-2074.1,-1903.87,-1957.27,2576.73
2018-12-01 01:45:00+00:00,-1.04,-0.47,-1.06,39.19,2.61,2.77,1.7,1.01,4.0,0.95,21.02,90.0,-123.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,212.17,2.4,92.99,0.0,0.0,5.15,98.68,0.0,0.0,54118.0,487.6,493.67,6178.27,46251.8,4132.47,-1.0,3032.2,-2526.27,1140.33,-5070.8,70.27,-1530.4,-1928.6,-2057.87,-2009.27,2164.73
2018-12-01 02:00:00+00:00,-1.03,-0.47,-1.04,37.89,2.62,2.79,2.12,1.06,3.98,1.04,19.14,90.0,-119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,202.2,2.11,93.55,0.0,0.0,5.25,98.25,0.0,0.0,53409.7,457.3,422.13,6090.87,46165.23,4129.53,-1.0,2911.23,-2655.07,1141.33,-5251.63,68.83,-1504.0,-1851.0,-2140.0,-2037.0,1945.0
2018-12-01 02:15:00+00:00,-1.01,-0.45,-1.0,34.85,2.67,2.78,1.72,1.06,3.97,1.03,16.66,90.0,-115.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,201.69,2.31,94.01,0.0,0.0,5.35,97.83,0.0,0.0,52946.2,395.8,343.13,5989.87,46135.73,4113.53,-1.0,2941.73,-2443.07,1146.33,-5675.13,66.33,-1504.0,-1851.0,-2140.0,-2037.0,1945.0
2018-12-01 02:30:00+00:00,-0.91,-0.32,-0.93,33.16,2.73,3.3,1.77,1.02,3.97,1.0,14.35,90.0,-111.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,203.79,2.82,94.7,0.0,0.0,5.37,97.8,0.0,0.0,52426.23,362.77,293.53,5918.97,45951.77,4098.23,-1.23,2880.77,-2382.5,1148.07,-5843.37,65.0,-1504.0,-1775.87,-2140.0,-2088.33,2128.17
2018-12-01 02:45:00+00:00,-0.67,-0.28,-0.7,38.99,2.77,6.26,1.81,1.09,3.77,1.62,16.17,90.0,-107.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,198.47,2.4,94.81,0.0,0.0,5.29,98.22,0.0,0.0,51841.73,362.27,277.53,5882.47,45591.27,4083.73,-1.73,2715.27,-2495.0,1146.07,-5719.87,65.0,-1504.0,-1614.87,-2140.0,-2198.33,2520.67
2018-12-01 03:00:00+00:00,-0.52,-0.26,-0.57,38.52,2.76,5.48,1.76,1.07,4.01,1.04,16.93,90.0,-104.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61,190.16,2.13,94.81,0.0,0.0,5.22,98.65,0.0,0.0,51477.03,362.23,268.77,5834.07,45380.33,4078.8,-2.0,2625.6,-2666.53,1145.47,-5549.93,65.0,-1504.0,-1529.0,-2140.0,-2257.0,2729.53
2018-12-01 03:15:00+00:00,-0.47,-0.25,-0.52,36.11,2.92,4.64,1.75,1.05,4.19,0.99,15.2,90.0,-101.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,190.67,2.32,94.92,0.0,0.0,5.14,99.07,0.0,0.0,51363.53,362.73,268.27,5772.07,45340.33,4084.8,-2.0,2622.6,-2905.53,1146.47,-5326.93,65.0,-1504.0,-1529.0,-2140.0,-2257.0,2728.53
