Date and time (UTC),Global_Solar_Flux,Direct_Solar_Flux,Diffuse_Solar_Flux,TGBT,T1,T2,T3,T4,T5,T6,T7,SZA,SAA,Pmax,Vmax,Imax,Voc,Isc,Tp,POA,AirTemp,wd,ws,rh,rain,GLO_ARP_J1,T2_ARP_J1,RH_ARP_J1,PMAX_ARP_J1,TPV_ARP_J1,Consommation,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique
2018-06-01 00:00:00+00:00,-0.93,-0.42,-1.09,21.6,1.88,2.86,1.06,0.7,2.96,1.64,5.59,90.0,-175.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.82,225.92,2.92,90.9,0.0,0.0,16.39,95.84,0.0,0.0,40621.53,57.0,301.1,266.23,42201.97,926.63,-1.0,9731.67,-1852.83,1025.87,-12035.33,27.23,-1802.0,-1750.0,-2786.0,-2441.0,-3051.0
2018-06-01 00:15:00+00:00,-0.93,-0.39,-1.08,20.73,1.53,2.85,1.06,0.68,2.94,1.29,5.44,90.0,-171.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,233.94,2.64,91.63,0.0,0.0,16.27,95.29,0.0,0.0,40320.53,57.0,320.6,266.73,42030.47,900.13,-1.0,9666.67,-1850.33,1029.87,-12100.33,27.73,-1802.0,-1750.0,-2786.0,-2441.0,-3051.0
2018-06-01 00:30:00+00:00,-0.92,-0.4,-1.08,20.21,1.44,2.72,1.02,0.64,2.96,1.08,5.37,90.0,-168.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47,236.69,2.43,92.31,0.0,0.0,16.15,95.17,0.0,0.0,39808.13,57.0,320.5,270.97,41598.8,895.8,-1.0,9606.57,-1854.83,1032.7,-12119.37,28.0,-1802.0,-1750.0,-2786.0,-2441.0,-3051.93
2018-06-01 00:45:00+00:00,-0.91,-0.37,-1.06,20.0,1.35,2.65,0.98,0.62,2.93,1.07,5.35,90.0,-164.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.34,240.69,3.16,93.08,0.0,0.0,16.05,95.55,0.0,0.0,39054.13,57.0,298.0,279.47,40869.8,916.8,-1.0,9552.07,-1867.33,1034.2,-12085.87,28.0,-1802.0,-1750.0,-2786.0,-2441.0,-3053.93
2018-06-01 01:00:00+00:00,-0.9,-0.36,-1.07,20.27,1.35,2.68,1.01,0.63,2.96,1.08,5.58,90.0,-160.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.21,235.75,3.29,93.65,0.0,0.0,15.95,95.92,0.0,0.0,38462.77,57.0,300.23,274.2,40380.43,928.47,-1.0,9532.33,-1959.87,1034.53,-12084.1,28.23,-1802.0,-1750.0,-2786.0,-2441.0,-3055.0
2018-06-01 01:15:00+00:00,-0.93,-0.37,-1.08,19.81,1.35,2.7,1.03,0.66,2.94,1.08,5.25,90.0,-157.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.09,237.26,3.18,94.2,0.0,0.0,15.85,96.3,0.0,0.0,38057.27,57.0,330.73,253.2,40164.93,929.47,-1.0,9552.33,-2143.87,1033.53,-12118.6,28.73,-1802.0,-1750.0,-2786.0,-2441.0,-3055.0
2018-06-01 01:30:00+00:00,-0.71,-0.32,-0.78,20.48,1.35,2.67,1.37,0.66,2.96,1.07,5.58,90.0,-154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.99,234.06,3.0,94.69,0.0,0.0,15.8,96.25,0.0,0.0,37705.43,57.0,351.43,243.17,39840.0,922.07,-1.0,9538.03,-2242.47,1033.47,-12035.73,29.23,-1802.0,-1750.0,-2786.0,-2441.0,-2965.63
2018-06-01 01:45:00+00:00,-0.21,-0.05,-0.24,20.02,1.35,2.69,0.96,0.66,2.93,1.09,5.5,90.0,-150.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,237.38,3.23,95.06,0.0,0.0,15.8,95.73,0.0,0.0,37414.93,57.0,360.93,245.67,39390.0,905.07,-1.0,9484.53,-2243.47,1034.47,-11818.73,29.73,-1802.0,-1750.0,-2786.0,-2441.0,-2774.13
2018-06-01 02:00:00+00:00,-0.2,-0.03,-0.23,20.04,1.35,2.62,0.97,0.66,2.96,1.08,5.42,90.0,-147.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.19,242.47,3.71,95.13,0.0,0.0,15.8,95.21,0.0,0.0,37197.47,57.0,359.47,245.83,39118.03,892.5,-1.0,9451.8,-2258.47,1034.3,-11702.77,30.0,-1802.0,-1750.0,-2786.0,-2441.0,-2672.0
2018-06-01 02:15:00+00:00,-0.23,-0.04,-0.28,20.05,1.35,2.68,1.03,0.62,2.94,1.06,5.34,90.0,-144.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.32,245.59,3.17,94.98,0.0,0.0,15.8,94.68,0.0,0.0,37063.47,57.0,345.47,243.33,39049.53,885.0,-1.0,9442.8,-2289.47,1032.8,-11702.27,30.0,-1802.0,-1750.0,-2786.0,-2441.0,-2672.0
