Date and time (UTC),Global_Solar_Flux,Direct_Solar_Flux,Diffuse_Solar_Flux,TGBT,T1,T2,T3,T4,T5,T6,T7,SZA,SAA,Pmax,Vmax,Imax,Voc,Isc,Tp,POA,AirTemp,wd,ws,rh,rain,GLO_ARP_J1,T2_ARP_J1,RH_ARP_J1,PMAX_ARP_J1,TPV_ARP_J1,Consommation,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique
2018-10-01 00:00:00+00:00,-0.93,-0.61,-0.97,29.03,3.42,6.37,1.34,2.72,3.99,1.41,5.49,90.0,-170.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71,286.04,2.56,75.68,0.0,0.0,11.0,73.76,0.0,0.0,38943.07,97.23,489.07,1153.67,40225.0,3456.57,-1.0,2509.07,-3050.3,1112.47,-7049.23,44.53,-1407.0,-2500.0,-3052.0,-2362.0,2180.4
2018-10-01 00:15:00+00:00,-0.93,-0.62,-0.99,28.0,3.39,5.49,1.34,3.04,4.0,1.5,4.94,90.0,-165.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,293.53,2.15,76.56,0.0,0.0,11.0,72.94,0.0,0.0,38656.07,97.73,502.07,1028.67,40450.0,3432.07,-1.0,2582.07,-3138.8,1113.47,-7409.73,43.53,-1407.0,-2500.0,-3052.0,-2362.0,2153.4
2018-10-01 00:30:00+00:00,-0.8,-0.51,-0.85,28.87,3.32,5.58,1.78,2.76,4.0,1.94,5.07,90.0,-160.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37,292.99,2.24,77.23,0.0,0.0,10.95,73.44,0.0,0.0,38148.1,97.77,459.77,944.03,40487.17,3441.17,-1.0,2540.5,-3225.9,1118.9,-7713.77,42.07,-1360.33,-2500.0,-3042.43,-2362.0,1639.43
2018-10-01 00:45:00+00:00,-0.66,-0.35,-0.7,28.16,3.47,5.43,1.38,3.03,4.19,1.39,4.96,90.0,-155.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.39,282.53,2.68,77.68,0.0,0.0,10.85,75.47,0.0,0.0,37387.6,97.27,354.27,905.53,40309.67,3488.67,-1.0,2368.0,-3311.4,1129.4,-7953.27,40.07,-1260.33,-2500.0,-3021.93,-2362.0,568.93
2018-10-01 01:00:00+00:00,-0.41,-0.15,-0.49,27.33,3.26,5.16,1.4,2.73,4.28,1.44,4.94,90.0,-150.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54,294.23,2.7,77.66,0.0,0.0,10.75,77.5,0.0,0.0,36792.3,97.23,300.57,909.27,40252.1,3614.8,-1.0,2298.63,-3356.77,1134.07,-8457.37,39.23,-1207.0,-2500.0,-3011.0,-2362.0,-2.0
2018-10-01 01:15:00+00:00,-0.28,-0.18,-0.34,28.15,3.48,5.37,1.36,2.94,4.02,1.39,5.09,90.0,-146.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,316.76,1.89,78.11,0.0,0.0,10.65,79.52,0.0,0.0,36385.8,97.73,306.07,961.27,40331.6,3830.8,-1.0,2347.13,-3356.27,1132.07,-9263.87,39.73,-1207.0,-2500.0,-3011.0,-2362.0,-2.0
2018-10-01 01:30:00+00:00,-0.43,-0.17,-0.5,27.68,3.26,5.49,1.34,2.85,4.04,1.41,5.15,90.0,-141.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,298.1,2.44,78.5,0.0,0.0,10.58,80.7,0.0,0.0,36042.3,98.23,304.8,982.23,40287.2,3983.8,-1.0,2336.83,-3358.1,1131.23,-9722.93,39.77,-1207.0,-2447.73,-3011.0,-2362.0,-331.47
2018-10-01 01:45:00+00:00,-0.58,-0.21,-0.63,28.47,3.47,5.32,1.34,2.95,4.05,1.42,5.47,90.0,-137.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83,313.13,2.75,77.39,0.0,0.0,10.53,80.93,0.0,0.0,35770.8,98.73,295.8,967.73,40101.2,4064.8,-1.0,2259.33,-3362.6,1131.73,-9784.93,39.27,-1207.0,-2335.73,-3011.0,-2362.0,-1037.47
2018-10-01 02:00:00+00:00,-0.47,-0.11,-0.57,28.4,3.26,5.36,1.34,3.02,4.46,1.45,5.11,90.0,-133.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06,319.22,3.64,74.74,0.0,0.0,10.48,81.16,0.0,0.0,35639.53,101.8,300.1,972.83,40143.17,4111.27,-1.0,2216.37,-3363.37,1132.47,-9973.87,39.23,-1207.0,-2276.0,-3011.0,-2362.0,-1414.0
2018-10-01 02:15:00+00:00,-0.39,-0.08,-0.5,28.37,3.47,5.46,1.37,3.49,4.05,1.37,4.94,90.0,-129.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27,316.67,3.84,70.55,0.0,0.0,10.43,81.38,0.0,0.0,35668.53,107.8,319.6,1000.33,40445.67,4118.27,-1.0,2212.87,-3359.87,1133.47,-10307.87,39.73,-1207.0,-2276.0,-3011.0,-2362.0,-1414.0
2018-10-01 02:30:00+00:00,-0.39,-0.12,-0.51,27.85,3.39,5.4,1.35,3.06,4.06,1.43,4.86,90.0,-125.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.32,327.1,3.55,67.09,0.0,0.0,10.29,81.42,0.0,0.0,35832.17,111.47,327.67,1039.5,40601.17,4159.1,-1.0,2227.33,-3310.63,1134.0,-10456.13,40.23,-1207.0,-2237.5,-3005.17,-2362.0,-1138.2
2018-10-01 02:45:00+00:00,-0.38,-0.16,-0.49,29.5,4.29,5.35,1.35,2.8,4.22,1.42,5.67,90.0,-122.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31,323.58,3.39,65.13,0.0,0.0,10.07,81.24,0.0,0.0,36149.67,112.47,322.67,1092.0,40588.67,4238.6,-1.0,2262.33,-3209.13,1134.0,-10392.13,40.73,-1207.0,-2155.0,-2992.67,-2362.0,-547.2
2018-10-01 03:00:00+00:00,-0.38,-0.18,-0.48,31.27,4.13,5.49,1.41,3.05,4.38,1.65,7.01,90.0,-118.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,327.17,2.91,64.21,0.0,0.0,9.85,81.07,0.0,0.0,36720.8,118.13,379.27,1175.53,40569.63,4265.13,-1.0,2316.47,-3159.43,1130.5,-10074.97,42.4,-1207.0,-2111.0,-2986.0,-2362.0,-235.27
2018-10-01 03:15:00+00:00,-0.45,-0.23,-0.54,31.94,3.74,5.2,1.28,2.88,4.06,1.63,8.63,90.0,-115.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,318.78,3.35,63.66,0.0,0.0,9.62,80.89,0.0,0.0,37581.8,129.13,506.27,1294.53,40543.13,4231.13,-1.0,2392.47,-3168.93,1123.0,-9468.47,45.4,-1207.0,-2111.0,-2986.0,-2362.0,-242.27
2018-10-01 03:30:00+00:00,-0.54,-0.23,-0.6,32.59,4.16,5.3,1.27,3.04,4.17,1.06,9.5,90.0,-112.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,319.42,3.78,62.9,0.0,0.0,9.43,80.51,0.0,0.0,38501.6,171.63,637.93,1383.2,40588.27,4184.77,-1.0,2513.27,-2930.4,1117.37,-9163.43,48.63,-1229.87,-1279.4,-2864.9,-2356.87,-996.63
