Date and time (UTC),Global_Solar_Flux,Direct_Solar_Flux,Diffuse_Solar_Flux,TGBT,T1,T2,T3,T4,T5,T6,T7,SZA,SAA,Pmax,Vmax,Imax,Voc,Isc,Tp,POA,AirTemp,wd,ws,rh,rain,GLO_ARP_J1,T2_ARP_J1,RH_ARP_J1,PMAX_ARP_J1,TPV_ARP_J1,Consommation,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique
2019-02-01 00:00:00+00:00,-0.96,-0.35,-1.09,54.24,9.36,5.79,2.07,2.16,6.85,1.47,21.71,90.0,-58.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,228.44,2.77,95.29,0.0,0.0,2.9,96.07,0.0,0.0,69683.1,160.07,680.53,6556.4,54487.27,6327.27,-2.0,5272.03,-2715.1,1141.33,-2224.7,47.0,-2000.0,2837.0,-2762.0,-3002.0,3262.17
2019-02-01 00:15:00+00:00,-0.98,-0.32,-1.09,46.96,6.19,3.39,1.97,2.18,6.99,1.51,20.21,90.0,-171.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,219.96,2.75,95.4,0.0,0.0,2.38,95.05,0.0,0.0,69342.6,158.07,679.53,6529.4,54569.27,6244.27,-2.0,5263.53,-2719.6,1146.33,-2526.2,47.0,-2000.0,2837.0,-2762.0,-3002.0,3294.67
2019-02-01 00:30:00+00:00,-0.94,-0.28,-1.08,54.82,9.11,6.36,2.0,2.19,7.0,1.51,21.71,90.0,-165.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,223.26,2.55,95.37,0.0,0.0,2.11,94.88,0.0,0.0,69042.23,157.0,671.77,6503.33,54573.1,6201.63,-2.0,5111.77,-2719.2,1149.93,-2604.63,47.0,-2000.0,2804.33,-2762.0,-3002.0,3322.27
2019-02-01 00:45:00+00:00,-0.91,-0.26,-1.03,53.36,7.81,5.83,1.99,2.19,7.05,1.5,22.07,90.0,-158.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,219.32,2.64,95.42,0.0,0.0,2.14,95.71,0.0,0.0,68787.73,157.0,656.27,6478.33,54487.6,6205.13,-2.0,4796.27,-2713.2,1151.93,-2428.13,47.0,-2000.0,2734.33,-2762.0,-3002.0,3344.27
2019-02-01 01:00:00+00:00,-0.9,-0.28,-1.01,56.44,7.78,6.08,1.96,2.22,7.07,1.47,24.91,90.0,-152.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,214.04,2.34,95.33,0.0,0.0,2.16,96.54,0.0,0.0,68502.43,154.2,655.0,6351.6,54454.13,6164.53,-2.0,4589.03,-2709.77,1153.93,-2306.7,46.53,-2000.0,2697.0,-2762.0,-3002.0,3378.87
2019-02-01 01:15:00+00:00,-0.89,-0.37,-0.95,60.78,10.4,6.08,1.98,2.21,7.06,1.52,26.49,90.0,-146.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,207.65,1.65,95.38,0.0,0.0,2.19,97.36,0.0,0.0,68181.93,148.2,670.0,6108.6,54480.13,6073.53,-2.0,4505.53,-2709.27,1155.93,-2248.2,45.53,-2000.0,2697.0,-2762.0,-3002.0,3427.87
2019-02-01 01:30:00+00:00,-0.89,-0.34,-0.97,63.18,10.26,5.51,1.88,2.25,7.09,1.54,29.67,90.0,-140.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,187.14,1.64,95.63,0.0,0.0,2.27,98.06,0.0,0.0,67602.2,145.47,669.6,5867.0,54408.6,5935.17,-2.0,4420.4,-2709.23,1157.47,-2290.03,44.53,-2000.0,2846.1,-2752.43,-3002.0,2709.9
2019-02-01 01:45:00+00:00,-0.89,-0.27,-0.98,59.16,9.3,3.51,2.17,2.24,7.1,1.53,28.54,90.0,-135.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,179.88,1.9,95.59,0.0,0.0,2.42,98.61,0.0,0.0,66726.2,146.47,651.6,5627.0,54225.6,5742.67,-2.0,4333.4,-2709.73,1158.47,-2446.53,43.53,-2000.0,3165.6,-2731.93,-3002.0,1115.4
2019-02-01 02:00:00+00:00,-0.9,-0.27,-1.05,56.03,9.07,5.34,2.01,2.22,6.52,1.89,24.18,90.0,-130.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,153.8,1.25,95.7,0.0,0.0,2.57,99.16,0.0,0.0,66008.17,146.77,654.83,5551.27,54226.47,5533.6,-2.0,4277.43,-2712.1,1158.53,-2826.1,43.47,-2000.0,3336.0,-2721.0,-3002.0,263.6
2019-02-01 02:15:00+00:00,-0.9,-0.27,-1.01,54.11,3.63,6.34,1.94,2.22,6.91,1.5,26.62,90.0,-126.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79,174.18,1.53,95.88,0.0,0.0,2.72,99.71,0.0,0.0,65470.67,146.27,682.33,5663.27,54437.47,5305.6,-2.0,4256.93,-2716.6,1157.53,-3460.6,44.47,-2000.0,3336.0,-2721.0,-3002.0,260.6
