Date and time (UTC),Global_Solar_Flux,Direct_Solar_Flux,Diffuse_Solar_Flux,TGBT,T1,T2,T3,T4,T5,T6,T7,SZA,SAA,Pmax,Vmax,Imax,Voc,Isc,Tp,POA,AirTemp,wd,ws,rh,rain,GLO_ARP_J1,T2_ARP_J1,RH_ARP_J1,PMAX_ARP_J1,TPV_ARP_J1,Consommation,Fioul,Charbon,Gaz,Nucleaire,Eolien,Solaire,Hydraulique,Pompage,Bioenergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique
2020-04-01 00:00:00+00:00,-1.25,-0.36,-1.28,64.32,8.02,4.92,1.62,2.46,3.45,13.03,24.21,90.0,-176.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,55.47,3.21,53.28,0.0,0.0,3.14,54.73,0.0,0.0,52403.8,97.0,16.77,3776.2,40071.37,5945.53,-1.0,7574.6,-62.5,1129.07,-6142.23,28.3,-1802.0,-245.0,-121.0,-2077.0,-1112.77
2020-04-01 00:15:00+00:00,-1.24,-0.37,-1.28,59.56,7.08,5.46,1.63,1.69,3.48,13.47,20.31,90.0,-171.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78,55.56,2.85,54.03,0.0,0.0,3.11,55.75,0.0,0.0,52184.8,97.0,16.27,3455.2,40157.87,5854.53,-1.0,7391.6,-40.0,1127.07,-5872.73,26.8,-1802.0,-245.0,-121.0,-2077.0,-1127.27
2020-04-01 00:30:00+00:00,-1.25,-0.37,-1.28,57.79,7.41,4.91,1.62,1.99,3.51,13.43,18.62,90.0,-166.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,52.98,2.61,54.42,0.0,0.0,3.03,56.51,0.0,0.0,51700.73,96.77,16.0,3247.6,40261.4,5770.3,-1.0,7169.4,-85.63,1125.07,-5898.63,25.77,-1802.0,-312.43,-79.93,-2113.63,-1568.3
2020-04-01 00:45:00+00:00,-1.25,-0.31,-1.29,61.21,8.14,5.83,1.61,1.88,3.81,13.64,19.84,90.0,-162.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,49.2,2.73,54.9,0.0,0.0,2.88,56.96,0.0,0.0,50913.73,96.27,16.0,3169.6,40384.4,5693.8,-1.0,6902.4,-209.13,1123.07,-6262.13,25.27,-1802.0,-456.93,8.07,-2192.13,-2496.8
2020-04-01 01:00:00+00:00,-1.23,-0.36,-1.25,61.43,6.55,5.02,1.61,1.63,3.6,13.86,22.96,90.0,-157.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,57.04,2.58,55.08,0.0,0.0,2.73,57.41,0.0,0.0,50275.37,96.47,16.23,3146.2,40577.4,5619.4,-1.0,6805.73,-275.0,1121.53,-6832.13,25.0,-1802.0,-534.0,55.0,-2234.0,-2992.0
2020-04-01 01:15:00+00:00,-1.23,-0.37,-1.24,64.4,8.92,6.63,1.62,1.82,3.52,13.85,21.46,90.0,-153.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,58.17,2.82,55.62,0.0,0.0,2.58,57.86,0.0,0.0,49806.87,97.47,16.73,3185.2,40850.4,5547.4,-1.0,6903.73,-275.0,1120.53,-7638.13,25.0,-1802.0,-534.0,55.0,-2234.0,-2992.0
2020-04-01 01:30:00+00:00,-1.25,-0.36,-1.28,63.91,9.46,6.28,1.62,1.97,3.47,13.88,20.53,90.0,-149.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,53.92,2.2,56.23,0.0,0.0,2.44,58.36,0.0,0.0,49345.83,97.77,17.0,3129.0,40853.9,5496.4,-1.0,6927.07,-275.0,1119.77,-8018.07,24.77,-1802.0,-595.13,94.9,-2232.13,-3175.4
2020-04-01 01:45:00+00:00,-1.24,-0.36,-1.25,62.71,9.59,6.21,1.62,1.69,3.38,14.24,19.51,90.0,-145.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,60.33,2.56,56.45,0.0,0.0,2.32,58.91,0.0,0.0,48893.33,97.27,17.0,2964.0,40549.4,5469.4,-1.0,6865.07,-275.0,1119.27,-7911.07,24.27,-1802.0,-726.13,180.4,-2228.13,-3568.4
2020-04-01 02:00:00+00:00,-1.25,-0.32,-1.27,58.87,4.75,5.3,1.62,2.0,3.69,14.19,20.95,90.0,-141.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.81,63.46,2.4,56.3,0.0,0.0,2.19,59.46,0.0,0.0,48586.9,97.0,16.77,2895.37,40404.27,5432.13,-1.0,6894.53,-234.87,1120.63,-8037.17,24.0,-1802.0,-796.0,226.0,-2226.0,-3813.47
2020-04-01 02:15:00+00:00,-1.23,-0.35,-1.25,54.74,1.64,3.73,1.62,1.81,3.67,14.23,21.89,90.0,-137.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,58.87,2.45,56.71,0.0,0.0,2.07,60.01,0.0,0.0,48447.4,97.0,16.27,2936.87,40441.27,5383.13,-1.0,7028.53,-148.87,1124.13,-8429.67,24.0,-1802.0,-796.0,226.0,-2226.0,-3889.47
