InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,FairnessGap,AbsFairnessGap,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,1,inst/inst2020,true,NaN,NaN,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,2,inst/inst2020,true,NaN,NaN,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,3,inst/inst2020,true,NaN,NaN,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,4,inst/inst2020,true,NaN,NaN,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,5,inst/inst2020,true,NaN,NaN,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,1,inst/inst2020,true,NaN,NaN,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,2,inst/inst2020,true,NaN,NaN,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,3,inst/inst2020,true,NaN,NaN,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,4,inst/inst2020,true,NaN,NaN,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,5,inst/inst2020,true,NaN,NaN,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFSA,1,inst/inst2020,true,NaN,NaN,7.538956880569458,4.43
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,LEXMMFSA,2,inst/inst2020,true,NaN,NaN,7.538956880569458,4.43
