InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.6060449676588174e-9,1.1939846444875002e-8,39.55081295967102,31.25
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.362139639444649e-9,5.598849384114146e-9,120.38237714767456,102.12
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2099917512387038e-9,4.9112713895738125e-9,75.9130847454071,60.83
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.316745278425515e-9,6.4574123825877905e-9,36.576801776885986,27.369999999999997
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,8.853930921759456e-10,4.194589564576745e-9,654.2544839382172,618.0600000000001
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3817953004036098e-9,6.6611391957849264e-9,490.5903890132904,464.69
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.486537363845855e-9,2.202068571932614e-8,268.61047291755676,239.99
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,8.353708835784346e-10,1.6516423784196377e-9,184.03742003440857,170.56
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.1562300389632584e-9,4.8949004849419e-9,54.930997133255005,47.839999999999996
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.35741026699543e-10,5.493347998708487e-10,52.55133891105652,46.89
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.496985977515578e-10,8.330971468240023e-10,83.41420531272888,77.08
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4500983525067569e-9,3.408786142244935e-9,57.77269101142883,42.08
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.672497304156423e-10,3.867171471938491e-9,168.5238401889801,154.37
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.5411176213528963e-10,9.431460057385266e-10,369.1709270477295,355.38
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.1355390344979243e-9,9.481482265982777e-9,456.4746289253235,442.51
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4537363313138486e-9,6.715708877891302e-9,218.5040922164917,204.67999999999998
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.7724232748150825e-9,4.6820787247270346e-9,89.3791708946228,82.8
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.7124769985675813e-9,6.284608389250934e-9,14.629540920257568,8.66
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.9537553675472735e-9,9.30231180973351e-9,16.799007892608643,11.329999999999998
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.915797712281346e-10,2.1973391994833946e-9,24.33827781677246,18.490000000000002
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4281795301940292e-9,5.579749995376915e-9,286.7861440181732,266.23
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.0999217415228487e-9,1.4009856386110187e-8,305.63325905799866,292.44
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.029463399201631e-10,3.1395757105201483e-9,270.1426830291748,255.82999999999998
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.0929292077198623e-9,8.581992005929351e-9,459.1391050815582,445.36
