ConfigID,RandomInstanceID,TreeSpec,Fairness,ConditionalStage,House,ExpectedPV,ExpectedESS,ExpectedPVPlusESS,ExpectedPSR,ExpectedESR,ExpectedPESR,ExpectedSavings,ExpectedSavingsRate,ExpectedCost,PVShare,ESSShare,PVESSShare,SavingsShare,RunTimeSec,ModelSolveTimeSec
C0001,R001,2:2:12,LEXMMFSA,,1,176.09605804249145,0.0,176.09605804249145,0.17446948178517685,0.0,0.17446948178517685,30351.876666678494,0.16513463025288616,153448.92041748136,0.06037718363027339,0.0,0.05972193359162075,0.20001829466629675,6.909820795059204,0.02
C0001,R001,2:2:12,LEXMMFSA,,2,157.24799398523146,0.0,157.24799398523146,0.15691113868256967,0.0,0.15691113868256967,30351.876666678494,0.1663313005544072,152126.56584841717,0.053914841217215244,0.0,0.05332972446172256,0.20001829466629675,6.909820795059204,0.02
C0001,R001,2:2:12,LEXMMFSA,,3,1973.887789743066,22.0,1995.887789743066,2.3963237517889837,0.026606179331207666,2.4229299311201915,30345.43633334519,0.1850554594342809,133634.79114068847,0.6767771344325852,0.6875,0.6768935055127692,0.19997585299112272,6.909820795059204,0.02
C0001,R001,2:2:12,LEXMMFSA,,4,161.1396577876028,0.0,161.1396577876028,0.15548996044573443,0.0,0.15548996044573443,30351.876666678494,0.16141472222005324,157684.73021296182,0.05524915671885109,0.0,0.05464955915734109,0.20001829466629675,6.909820795059204,0.02
C0001,R001,2:2:12,LEXMMFSA,,5,448.227908602742,10.0,458.227908602742,0.5341970965611675,0.011931195655982633,0.5461282922171501,30344.43633334519,0.18072380040099878,137560.60033595611,0.1536816840010751,0.3125,0.15540527727654654,0.19996926300998702,6.909820795059204,0.02
C0002,R002,2:2:12,LEXMMFSA,,1,127.55265617969268,0.0,127.55265617969268,0.15137320836249135,0.0,0.15137320836249135,26801.6566093124,0.16056853437461058,140115.58351933843,0.10186747173148344,0.0,0.0990205606537192,0.20000885096399598,0.043537139892578125,0.03
C0002,R002,2:2:12,LEXMMFSA,,2,137.78973231569734,4.0,141.78973231569734,0.16609479494135698,0.004897403115207372,0.17099219805656435,26801.6566093124,0.1643349239313901,136290.00989793654,0.11004311538431648,0.1111111111111111,0.11007296287943868,0.20000885096399598,0.043537139892578125,0.03
C0002,R002,2:2:12,LEXMMFSA,,3,138.60926106332533,0.0,138.60926106332533,0.17810009332457732,0.0,0.17810009332457732,26801.6566093124,0.1740252394418383,127208.51280792258,0.1106976162315158,0.0,0.10760392729848423,0.20000885096399598,0.043537139892578125,0.03
C0002,R002,2:2:12,LEXMMFSA,,4,141.4094153836529,0.0,141.4094153836529,0.16974893303790844,0.0,0.16974893303790844,26801.6566093124,0.16142757650517855,139227.32796416664,0.11293390553832504,0.0,0.10977771857042103,0.20000885096399598,0.043537139892578125,0.03
C0002,R002,2:2:12,LEXMMFSA,,5,706.7820776293236,32.0,738.7820776293236,0.9039906501291585,0.04069014655187031,0.9446807966810289,26795.72635931251,0.17806984285023225,123683.0179941004,0.5644578911143592,0.8888888888888888,0.5735248305979368,0.19996459614401613,0.043537139892578125,0.03
C0003,R003,2:2:12,LEXMMFSA,,1,346.91783933473283,8.0,354.91783933473283,0.3100782011987489,0.0073048069326719835,0.3173830081314209,72454.60021277744,0.3145498907881587,157889.14599304707,0.19567708807733783,0.25,0.19664020164747092,0.19999073614502463,0.043389081954956055,0.02
C0003,R003,2:2:12,LEXMMFSA,,2,334.93166767887567,24.0,358.93166767887567,0.29620802203620805,0.02122925142449384,0.31743727346070183,72454.60021277747,0.3108617293844244,160622.01670064492,0.18891635426407832,0.75,0.19886404031517507,0.19999073614502472,0.043389081954956055,0.02
C0003,R003,2:2:12,LEXMMFSA,,3,361.76761207428217,0.0,361.76761207428217,0.3143473024314821,0.0,0.3143473024314821,72453.60021277738,0.30617302141577907,164189.06633486174,0.20405302024000055,0.0,0.2004352791089732,0.19998797592365056,0.043389081954956055,0.02
C0003,R003,2:2:12,LEXMMFSA,,4,371.28616603559084,0.0,371.28616603559084,0.33437586881740433,0.0,0.33437586881740433,72472.38121277807,0.330456154483915,146837.74580228914,0.2094219079438662,0.0,0.2057089795627247,0.20003981564127576,0.043389081954956055,0.02
C0003,R003,2:2:12,LEXMMFSA,,5,358.00657746410883,0.0,358.00657746410883,0.31720804955702087,0.0,0.31720804955702087,72454.60021277732,0.312129305463542,159675.478394149,0.20193162947471704,0.0,0.19835149936565608,0.1999907361450243,0.043389081954956055,0.02
C0004,R004,2:2:12,LEXMMFSA,,1,41.06717670404018,11.537564790014207,52.60474149405439,0.05217288192025181,0.01465764276358074,0.06683052468383255,4030.960352783557,0.027105581705068348,144682.33407652678,0.1354797492786755,0.18800007805139654,0.14432261559820989,0.19980855663665814,0.04958295822143555,0.03
C0004,R004,2:2:12,LEXMMFSA,,2,77.06809340303207,0.490000000000002,77.55809340303207,0.09980643039332114,0.0006371644582920154,0.10044359485161317,4050.2713527833985,0.02727289967609002,144458.73945600295,0.2542460137173523,0.007984357177774189,0.21278285156103238,0.2007657734533689,0.04958295822143555,0.03
C0004,R004,2:2:12,LEXMMFSA,,3,41.151204897886224,17.342435209985794,58.49364010787202,0.05128614919934332,0.021613625211371702,0.07289977441071502,4030.960352783528,0.026606217915201232,147473.48742821708,0.13575695651687072,0.28258815724272107,0.16047897768269787,0.1998085566366567,0.04958295822143555,0.03
C0004,R004,2:2:12,LEXMMFSA,,4,93.61261508741102,16.79341224504659,110.4060273324576,0.12107915267581398,0.0215780793702308,0.1426572320460448,4030.960352783557,0.026842097901909077,146142.1135818311,0.30882604160406985,0.2736420440776697,0.30290209950425606,0.19980855663665814,0.04958295822143555,0.03
