Method,PctInstances,RunTimeSec
Exact optimal,1.25,22.84071016311645
Exact optimal,2.5,26.39455246925354
Exact optimal,3.75,30.338250160217285
Exact optimal,5.0,30.634960174560547
Exact optimal,6.25,30.735795974731445
Exact optimal,7.5,30.83941888809204
Exact optimal,8.75,32.80614185333252
Exact optimal,10.0,33.63201451301575
Exact optimal,11.25,39.05413603782654
Exact optimal,12.5,41.43455624580383
Exact optimal,13.750000000000002,42.61794900894165
Exact optimal,15.0,44.19246459007263
Exact optimal,16.25,48.24951195716858
Exact optimal,17.5,52.96325421333313
Exact optimal,18.75,53.576974391937256
Exact optimal,20.0,54.36032319068909
Exact optimal,21.25,72.9318630695343
Exact optimal,22.5,96.3622019290924
Exact optimal,23.75,98.61375212669373
Exact optimal,25.0,104.10350823402403
Exact optimal,26.25,104.42120218276978
Exact optimal,27.500000000000004,104.43779492378236
Exact optimal,28.749999999999996,104.63372921943665
Exact optimal,30.0,119.16108655929564
Exact optimal,31.25,122.73252892494202
Exact optimal,32.5,125.53823709487916
Exact optimal,33.75,129.08279085159302
Exact optimal,35.0,129.3165798187256
Exact optimal,36.25,148.1744899749756
Exact optimal,37.5,151.50876712799072
Exact optimal,38.75,154.5276517868042
Exact optimal,40.0,156.26772785186768
Exact optimal,41.25,158.72853088378906
Exact optimal,42.5,183.25286388397217
Exact optimal,43.75,192.3576045036316
Exact optimal,45.0,196.13346147537231
Exact optimal,46.25,196.7914731502533
Exact optimal,47.5,202.2169017791748
Exact optimal,48.75,204.47141194343567
Exact optimal,50.0,222.8232429027557
Exact optimal,51.24999999999999,230.60153222084045
Exact optimal,52.5,233.70227718353271
Exact optimal,53.75,235.982568025589
Exact optimal,55.00000000000001,240.2696659564972
Exact optimal,56.25,241.08406567573547
Exact optimal,57.49999999999999,241.27567434310916
Exact optimal,58.75,251.1861686706543
Exact optimal,60.0,257.3412244319916
Exact optimal,61.25000000000001,276.8386170864105
Exact optimal,62.5,280.4815263748169
Exact optimal,63.74999999999999,282.9112024307251
Exact optimal,65.0,286.3147909641266
Exact optimal,66.25,288.9054665565491
Exact optimal,67.5,302.6844654083252
Exact optimal,68.75,303.9411039352417
Exact optimal,70.0,304.43358302116394
Exact optimal,71.25,324.39626145362854
Exact optimal,72.5,332.2676627635956
Exact optimal,73.75,335.40511178970337
Exact optimal,75.0,344.4187641143799
Exact optimal,76.25,355.470162153244
Exact optimal,77.5,361.54789328575134
Exact optimal,78.75,384.0702741146088
Exact optimal,80.0,398.39608097076416
Exact optimal,81.25,399.53981471061707
Exact optimal,82.5,411.03312611579895
Exact optimal,83.75,421.3304150104522
Exact optimal,85.0,432.5147438049317
Exact optimal,86.25,435.35655188560486
Exact optimal,87.5,444.4177622795105
Exact optimal,88.75,449.71380710601807
Exact optimal,90.0,468.46109104156494
Exact optimal,91.25,472.3174302577973
Exact optimal,92.5,476.30758452415466
Exact optimal,93.75,499.5274314880371
Exact optimal,95.0,566.1535229682922
Exact optimal,96.25,568.4105679988861
Exact optimal,97.5,570.3311445713043
Exact optimal,98.75,609.1913230419159
Exact optimal,100.0,747.2438900470734
Restricted-exact,1.25,31.540528774261475
Restricted-exact,2.5,34.30178928375244
Restricted-exact,3.75,37.22939395904541
Restricted-exact,5.0,38.23844027519226
Restricted-exact,6.25,40.92591834068298
Restricted-exact,7.5,41.46417021751404
Restricted-exact,8.75,42.01038479804993
Restricted-exact,10.0,42.52689003944397
Restricted-exact,11.25,43.42736005783081
Restricted-exact,12.5,44.486088037490845
Restricted-exact,13.750000000000002,44.64163994789124
Restricted-exact,15.0,46.2837860584259
Restricted-exact,16.25,46.46550917625427
Restricted-exact,17.5,46.98428368568421
Restricted-exact,18.75,47.54126214981079
Restricted-exact,20.0,47.8317141532898
Restricted-exact,21.25,48.91817617416382
Restricted-exact,22.5,49.64549064636231
Restricted-exact,23.75,50.20389223098755
Restricted-exact,25.0,51.9973349571228
Restricted-exact,26.25,53.246708154678345
Restricted-exact,27.500000000000004,53.25949811935425
Restricted-exact,28.749999999999996,54.5255401134491
Restricted-exact,30.0,56.15892171859741
Restricted-exact,31.25,56.97734522819519
Restricted-exact,32.5,57.41792869567871
Restricted-exact,33.75,58.3851842880249
Restricted-exact,35.0,60.7346978187561
Restricted-exact,36.25,63.4025993347168
Restricted-exact,37.5,67.32078909873962
Restricted-exact,38.75,68.84789896011353
Restricted-exact,40.0,69.03395175933838
Restricted-exact,41.25,69.61829710006714
Restricted-exact,42.5,70.31258225440979
Restricted-exact,43.75,72.59811282157898
Restricted-exact,45.0,73.98948693275452
Restricted-exact,46.25,74.81693029403687
Restricted-exact,47.5,76.14958882331848
Restricted-exact,48.75,76.51837110519409
Restricted-exact,50.0,89.95584607124329
Restricted-exact,51.24999999999999,100.44091415405272
Restricted-exact,52.5,102.92874574661256
Restricted-exact,53.75,102.95820498466492
Restricted-exact,55.00000000000001,103.04426145553587
Restricted-exact,56.25,103.83916091918944
Restricted-exact,57.49999999999999,106.94267892837524
Restricted-exact,58.75,113.4807448387146
Restricted-exact,60.0,114.15994477272034
Restricted-exact,61.25000000000001,116.74498057365416
Restricted-exact,62.5,118.96339392662048
Restricted-exact,63.74999999999999,119.11641383171082
Restricted-exact,65.0,119.99414777755736
Restricted-exact,66.25,126.3421230316162
Restricted-exact,67.5,127.22306036949158
Restricted-exact,68.75,127.89470529556274
Restricted-exact,70.0,130.12972903251648
Restricted-exact,71.25,132.19422674179077
Restricted-exact,72.5,135.4091353416443
Restricted-exact,73.75,138.48978924751282
Restricted-exact,75.0,139.11485695838928
Restricted-exact,76.25,140.97285389900208
Restricted-exact,77.5,141.8081657886505
Restricted-exact,78.75,144.28826999664307
Restricted-exact,80.0,146.15559339523315
Restricted-exact,81.25,150.46894001960754
Restricted-exact,82.5,153.31650614738464
Restricted-exact,83.75,155.13329124450684
Restricted-exact,85.0,158.33783340454102
Restricted-exact,86.25,158.45486211776733
Restricted-exact,87.5,159.34116005897522
Restricted-exact,88.75,159.7388575077057
Restricted-exact,90.0,161.7267816066742
Restricted-exact,91.25,163.14237713813782
Restricted-exact,92.5,164.1802453994751
Restricted-exact,93.75,170.12753105163574
Restricted-exact,95.0,171.78630447387695
Restricted-exact,96.25,181.6271023750305
Restricted-exact,97.5,192.32789587974548
Restricted-exact,98.75,198.7329857349396
Restricted-exact,100.0,215.67805075645447
Decomposed,1.25,22.075464963912964
Decomposed,2.5,22.272436141967773
Decomposed,3.75,22.38731694221497
Decomposed,5.0,22.45304918289185
Decomposed,6.25,23.5704402923584
Decomposed,7.5,24.0944459438324
Decomposed,8.75,24.45034170150757
Decomposed,10.0,24.847512245178223
Decomposed,11.25,25.144402027130127
Decomposed,12.5,25.87962484359741
Decomposed,13.750000000000002,26.762341737747192
Decomposed,15.0,27.09586834907532
Decomposed,16.25,28.95495104789734
Decomposed,17.5,29.008362293243408
Decomposed,18.75,29.06931710243225
Decomposed,20.0,29.72470784187317
Decomposed,21.25,30.85294914245605
Decomposed,22.5,30.879579067230225
Decomposed,23.75,31.31344509124756
Decomposed,25.0,31.6833291053772
Decomposed,26.25,32.66580295562744
Decomposed,27.500000000000004,32.697903871536255
Decomposed,28.749999999999996,33.0549418926239
Decomposed,30.0,33.45011591911316
Decomposed,31.25,34.23147010803223
Decomposed,32.5,34.39283299446106
Decomposed,33.75,35.79520392417908
Decomposed,35.0,37.338501930236816
Decomposed,36.25,37.41512680053711
Decomposed,37.5,37.64456605911255
Decomposed,38.75,38.07116889953613
Decomposed,40.0,39.53105187416077
Decomposed,41.25,39.68954181671143
Decomposed,42.5,40.10524296760559
Decomposed,43.75,41.38699102401733
Decomposed,45.0,42.40283584594727
Decomposed,46.25,43.16841769218445
Decomposed,47.5,43.72279500961304
Decomposed,48.75,44.11940407752991
Decomposed,50.0,44.45709276199341
Decomposed,51.24999999999999,44.84949493408203
Decomposed,52.5,44.960464000701904
Decomposed,53.75,47.3513240814209
Decomposed,55.00000000000001,48.34326791763306
Decomposed,56.25,48.97412490844727
Decomposed,57.49999999999999,51.180386781692505
Decomposed,58.75,51.7112340927124
Decomposed,60.0,53.35497784614563
Decomposed,61.25000000000001,53.53693604469299
Decomposed,62.5,53.62237215042114
Decomposed,63.74999999999999,54.47792005538941
Decomposed,65.0,54.85416913032532
Decomposed,66.25,55.1103892326355
Decomposed,67.5,55.31016278266907
Decomposed,68.75,55.42491602897644
Decomposed,70.0,55.860695123672485
Decomposed,71.25,56.08402013778687
Decomposed,72.5,57.06195783615112
Decomposed,73.75,59.99287295341492
Decomposed,75.0,60.7071750164032
Decomposed,76.25,61.268606185913086
Decomposed,77.5,63.3785388469696
Decomposed,78.75,63.56011915206909
Decomposed,80.0,63.92586612701416
Decomposed,81.25,64.47113013267517
Decomposed,82.5,65.0259940624237
Decomposed,83.75,65.13305282592773
Decomposed,85.0,65.25537705421448
Decomposed,86.25,65.38658404350281
Decomposed,87.5,66.82752799987793
Decomposed,88.75,68.29776501655579
Decomposed,90.0,71.02290797233582
Decomposed,91.25,74.56709885597229
Decomposed,92.5,74.98067331314087
Decomposed,93.75,76.05080199241638
Decomposed,95.0,78.33915615081787
Decomposed,96.25,81.26660704612732
Decomposed,97.5,83.22332310676575
Decomposed,98.75,83.93887400627136
Decomposed,100.0,117.78465914726256
