Method,PctInstances,RunTimeSec
Exact optimal,1.25,23.17548894882202
Exact optimal,2.5,25.39065313339233
Exact optimal,3.75,26.024003982543945
Exact optimal,5.0,26.76341414451599
Exact optimal,6.25,27.614493131637573
Exact optimal,7.5,28.213690042495728
Exact optimal,8.75,31.236676931381226
Exact optimal,10.0,32.99053382873535
Exact optimal,11.25,33.68036699295044
Exact optimal,12.5,33.965219020843506
Exact optimal,13.750000000000002,34.06138896942139
Exact optimal,15.0,34.54752802848816
Exact optimal,16.25,35.18723487854004
Exact optimal,17.5,35.38899779319763
Exact optimal,18.75,35.88727402687073
Exact optimal,20.0,37.756579875946045
Exact optimal,21.25,38.04185104370117
Exact optimal,22.5,38.0719039440155
Exact optimal,23.75,38.45619416236877
Exact optimal,25.0,38.66024804115296
Exact optimal,26.25,40.32687306404114
Exact optimal,27.500000000000004,40.428065061569214
Exact optimal,28.749999999999996,40.77709007263184
Exact optimal,30.0,41.14489388465881
Exact optimal,31.25,42.94592213630676
Exact optimal,32.5,43.35307621955872
Exact optimal,33.75,43.38882899284363
Exact optimal,35.0,46.38607716560364
Exact optimal,36.25,48.28031206130981
Exact optimal,37.5,48.69695901870728
Exact optimal,38.75,49.91365694999695
Exact optimal,40.0,49.920243978500366
Exact optimal,41.25,51.08400011062622
Exact optimal,42.5,53.12802004814148
Exact optimal,43.75,53.15624213218689
Exact optimal,45.0,55.42315793037415
Exact optimal,46.25,55.81292200088501
Exact optimal,47.5,56.20307683944702
Exact optimal,48.75,57.52435207366944
Exact optimal,50.0,57.55942702293396
Exact optimal,51.24999999999999,58.93271899223328
Exact optimal,52.5,59.71847200393677
Exact optimal,53.75,59.79547500610352
Exact optimal,55.00000000000001,60.004252910614014
Exact optimal,56.25,62.81181693077088
Exact optimal,57.49999999999999,63.15904498100281
Exact optimal,58.75,65.00662612915039
Exact optimal,60.0,67.21679019927979
Exact optimal,61.25000000000001,67.32002687454224
Exact optimal,62.5,68.27375102043152
Exact optimal,63.74999999999999,68.74856901168823
Exact optimal,65.0,72.07842898368835
Exact optimal,66.25,73.91771817207336
Exact optimal,67.5,75.78683710098267
Exact optimal,68.75,77.79198598861694
Exact optimal,70.0,77.89545488357544
Exact optimal,71.25,83.55183005332947
Exact optimal,72.5,83.6505298614502
Exact optimal,73.75,86.37587594985962
Exact optimal,75.0,87.35565900802612
Exact optimal,76.25,88.8919529914856
Exact optimal,77.5,94.61545419692992
Exact optimal,78.75,95.51506090164185
Exact optimal,80.0,95.77533388137816
Exact optimal,81.25,97.01160287857056
Exact optimal,82.5,98.09908390045166
Exact optimal,83.75,98.56144309043884
Exact optimal,85.0,98.80676293373108
Exact optimal,86.25,98.86567306518556
Exact optimal,87.5,98.91444611549376
Exact optimal,88.75,99.32342982292175
Exact optimal,90.0,101.56947898864746
Exact optimal,91.25,103.37829089164734
Exact optimal,92.5,106.56303310394289
Exact optimal,93.75,109.35898303985596
Exact optimal,95.0,113.6215500831604
Exact optimal,96.25,117.22136998176576
Exact optimal,97.5,128.2030110359192
Exact optimal,98.75,155.3906660079956
Exact optimal,100.0,164.0912401676178
Restricted-exact,1.25,16.9152889251709
Restricted-exact,2.5,19.861572980880737
Restricted-exact,3.75,20.253820180892944
Restricted-exact,5.0,23.146703958511356
Restricted-exact,6.25,23.17154002189636
Restricted-exact,7.5,23.80820393562317
Restricted-exact,8.75,25.99214601516724
Restricted-exact,10.0,26.10395097732544
Restricted-exact,11.25,26.53368091583252
Restricted-exact,12.5,28.098139762878414
Restricted-exact,13.750000000000002,28.665837049484253
Restricted-exact,15.0,28.905327081680294
Restricted-exact,16.25,29.615180015563965
Restricted-exact,17.5,29.85526704788208
Restricted-exact,18.75,29.887495040893555
Restricted-exact,20.0,31.470339059829712
Restricted-exact,21.25,31.51024794578552
Restricted-exact,22.5,31.608545303344727
Restricted-exact,23.75,31.75357127189636
Restricted-exact,25.0,32.12294602394104
Restricted-exact,26.25,33.20158004760742
Restricted-exact,27.500000000000004,33.98704504966736
Restricted-exact,28.749999999999996,37.2786660194397
Restricted-exact,30.0,37.75106406211853
Restricted-exact,31.25,38.29435586929321
