Replication,Period,Controller,Fairness,FormulationID,StructuralInstanceID,ParallelTaskID,ScenarioSupportID,RollingStart,Phase,PhaseLabel,TerminationStatus,PrimalStatus,Objective,ObjectiveBound,BinaryVariables,ContinuousVariables,TotalVariables,Constraints,Nonzeros,ExpectedModeNodes,GeneratedModeBinaries,UniquePolicyModes,LegacyHouseholdModeBinaries,LookaheadNodes,LookaheadScenarios,PresolveReducedVariables,PresolveReducedConstraints,RootRelaxation,BranchAndBoundNodes,FinalGap,MaxPhysicalResidual,FairnessResidual,FailureMessage
1,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,1,lex_phase_1,OPTIMAL,FEASIBLE_POINT,127.9799630622213,127.9799630622213,0,798,798,1227,2169,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000000284,
1,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,2,lex_phase_2,OPTIMAL,FEASIBLE_POINT,255.9599261244426,255.9599261244426,0,798,798,1228,2175,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000000284,
1,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,3,lex_phase_3,OPTIMAL,FEASIBLE_POINT,383.9398891866639,383.9398891866639,0,798,798,1229,2181,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000000284,
1,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,4,lex_phase_4,OPTIMAL,FEASIBLE_POINT,511.9198522488852,511.9198522488852,0,798,798,1230,2187,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000000284,
1,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,5,lex_phase_5,OPTIMAL,FEASIBLE_POINT,639.8998153111065,639.8998153111065,0,798,798,1231,2193,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000000284,
1,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,6,economic_tie_break,OPTIMAL,FEASIBLE_POINT,703215.675480687,703215.675480687,0,798,798,1232,2199,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000000284,
1,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,1,lex_phase_1,OPTIMAL,FEASIBLE_POINT,127.9799630622213,127.9799630622213,0,798,798,1227,2169,24,0,24,120,24,1,0,0,NaN,0,NaN,5.542233338928781e-13,1.0000000000000284,
1,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,2,lex_phase_2,OPTIMAL,FEASIBLE_POINT,255.9599261244426,255.9599261244426,0,798,798,1228,2175,24,0,24,120,24,1,0,0,NaN,0,NaN,5.542233338928781e-13,1.0000000000000284,
1,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,3,lex_phase_3,OPTIMAL,FEASIBLE_POINT,383.9398891866639,383.9398891866639,0,798,798,1229,2181,24,0,24,120,24,1,0,0,NaN,0,NaN,5.542233338928781e-13,1.0000000000000284,
1,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_100-d2-HET-UHI-BHI-47067ccef8,TK-PB-Drahi_100-d2-HET-UHI-e5f7962216-r1,SS-5d5bbea46d20,1,4,lex_phase_4,OPTIMAL,FEASIBLE_POINT,511.9198522488852,511.9198522488852,0,798,798,1230,2187,24,0,24,120,24,1,0,0,NaN,0,NaN,5.542233338928781e-13,1.0000000000000284,
