Replication,Period,Controller,Fairness,FormulationID,StructuralInstanceID,ParallelTaskID,ScenarioSupportID,RollingStart,Phase,PhaseLabel,TerminationStatus,PrimalStatus,Objective,ObjectiveBound,BinaryVariables,ContinuousVariables,TotalVariables,Constraints,Nonzeros,ExpectedModeNodes,GeneratedModeBinaries,UniquePolicyModes,LegacyHouseholdModeBinaries,LookaheadNodes,LookaheadScenarios,PresolveReducedVariables,PresolveReducedConstraints,RootRelaxation,BranchAndBoundNodes,FinalGap,MaxPhysicalResidual,FairnessResidual,FailureMessage
4,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,1,lex_phase_1,OPTIMAL,FEASIBLE_POINT,394.6290990021304,394.6290990021304,0,798,798,1227,2189,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000002842,
4,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,2,lex_phase_2,OPTIMAL,FEASIBLE_POINT,789.2581980042607,789.2581980042607,0,798,798,1228,2195,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000002842,
4,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,3,lex_phase_3,OPTIMAL,FEASIBLE_POINT,1183.8872970063912,1183.8872970063912,0,798,798,1229,2201,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000002842,
4,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,4,lex_phase_4,OPTIMAL,FEASIBLE_POINT,1578.5163960085215,1578.5163960085215,0,798,798,1230,2207,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000002842,
4,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,5,lex_phase_5,OPTIMAL,FEASIBLE_POINT,1973.145495010652,1973.145495010652,0,798,798,1231,2213,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000002842,
4,1,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,6,economic_tie_break,OPTIMAL,FEASIBLE_POINT,533112.3655996731,533112.3655996731,0,798,798,1232,2219,24,0,24,120,24,1,0,0,NaN,0,NaN,0.0,1.0000000000002842,
4,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,1,lex_phase_1,OPTIMAL,FEASIBLE_POINT,394.6290990021304,394.6290990021304,0,798,798,1227,2189,24,0,24,120,24,1,0,0,NaN,0,NaN,2.5579538487363607e-13,1.0000000000002842,
4,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,2,lex_phase_2,OPTIMAL,FEASIBLE_POINT,789.2581980042607,789.2581980042607,0,798,798,1228,2195,24,0,24,120,24,1,0,0,NaN,0,NaN,2.5579538487363607e-13,1.0000000000002842,
4,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,3,lex_phase_3,OPTIMAL,FEASIBLE_POINT,1183.8872970063912,1183.8872970063912,0,798,798,1229,2201,24,0,24,120,24,1,0,0,NaN,0,NaN,2.5579538487363607e-13,1.0000000000002842,
4,2,DETERMINISTIC_RH,LEXMMFPEA,shared_battery_mode_node_level_v1,SI-Drahi_13-d1-HET-ULO-BHI-16f4766447,TK-PB-Drahi_13-d1-HET-ULO-fdaa2ae1fe-r4,SS-2a2d2fbd84a2,1,4,lex_phase_4,OPTIMAL,FEASIBLE_POINT,1578.5163960085215,1578.5163960085215,0,798,798,1230,2207,24,0,24,120,24,1,0,0,NaN,0,NaN,2.5579538487363607e-13,1.0000000000002842,
