ExperimentID,FormulationID,StructuralInstanceID,ParallelTaskID,Replication,Controller,Fairness,Resource,ApplicableDiagnostic,House,PVAllocation,PVRate,PVProportionalTarget,PVDeviation,Savings,SavingsRate,SavingsProportionalTarget,SavingsDeviation,StaticShareTarget,StaticShareDeviation,PVOrderStatistic,SavingsOrderStatistic,SortedPV,SortedSavings,CumulativePVOrder,CumulativeSavingsOrder,MinHouseholdPV,MinHouseholdSavings,LexicographicPVShortfall,LexicographicSavingsShortfall
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,1,351.09953088247005,0.10207123332751483,468.4228956408765,-117.32336475840646,26133.769505083532,0.10188721152630206,35872.565161579274,-9738.795656495742,69.36875994796878,281.73077093450127,1,2,351.09953088247005,6230.372456053592,351.09953088247005,6230.372456053592,351.09953088247005,6230.372456053592,336.8504809605355,45069.038163967416
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,2,585.1683729680402,0.17011944556854786,430.01303385866623,155.15533910937398,29235.334302821502,0.11397922100653378,31015.02531858974,-1779.6910157682396,117.33892755667165,467.82944541136857,2,3,585.1683729680402,26133.769505083532,936.2679038505103,32364.141961137124,351.09953088247005,6230.372456053592,336.8504809605355,45069.038163967416
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,3,704.6119040151286,0.20484392525191944,1681.0784820526558,-976.4665780375271,159953.94820233702,0.6236093018188034,125708.85260191915,34245.09560041787,3073.7570338796077,-2369.145129864479,3,5,704.6119040151286,29235.334302821502,1640.8798078656387,61599.476263958626,351.09953088247005,6230.372456053592,336.8504809605355,45069.038163967416
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,4,783.5888447964471,0.22780400648507204,429.82222588753416,353.76661890891296,6230.372456053592,0.024290230163470993,32828.661848699616,-26598.289392646024,63.829417681989995,719.7594271144571,4,1,783.5888447964471,34943.62863380938,2424.468652662086,96543.104897768,351.09953088247005,6230.372456053592,336.8504809605355,45069.038163967416
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,5,1015.2814065529415,0.29516138936694575,430.4134217752947,584.8679847776468,34943.62863380938,0.13623403548488983,31071.948169317267,3871.6804644921103,115.45592014878834,899.8254864041531,5,4,1015.2814065529415,159953.94820233702,3439.7500592150272,256497.05310010503,351.09953088247005,6230.372456053592,336.8504809605355,45069.038163967416
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,1,61.25513570158067,0.01780801937555878,468.42289564087645,-407.16775993929576,21726.389190320915,0.10979297133860208,27675.346663535933,-5948.957473215018,69.36875994796878,-8.113624246388113,1,1,61.25513570158067,21726.389190320915,61.25513570158067,21726.389190320915,61.25513570158067,21726.389190320915,626.6948761414247,17850.62366474905
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,2,1997.957197392157,0.5808437133505285,430.0130338586661,1567.9441635334908,44721.992979050454,0.22599984057827344,23927.800356737203,20794.19262231325,117.33892755667165,1880.6182698354853,5,4,71.94304192837764,24967.00800346723,133.1981776299583,46693.39719378814,61.25513570158067,21726.389190320915,626.6948761414247,17850.62366474905
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,3,606.8957728302598,0.17643600912351093,1681.0784820526555,-1074.1827092223957,63397.76094912685,0.32037668523032736,96983.1975707056,-33585.436621578745,3073.7570338796077,-2466.861261049348,3,5,606.8957728302598,43071.913153384405,740.0939504602181,89765.31034717255,61.25513570158067,21726.389190320915,626.6948761414247,17850.62366474905
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,4,71.94304192837764,0.020915194618761193,429.8222258875341,-357.8791839591565,24967.00800346723,0.12616923917373848,25327.003883620793,-359.99588015356494,63.829417681989995,8.113624246387644,2,2,701.6989113626522,44721.992979050454,1441.7928618228705,134487.303326223,61.25513570158067,21726.389190320915,626.6948761414247,17850.62366474905
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d1-HET-UHI-BHI-f58faef1a5,TK-PB-Drahi_16-d1-HET-UHI-d83d2af018-r2,2,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,5,701.6989113626522,0.20399706353164054,430.41342177529464,271.2854895873576,43071.913153384405,0.21766126367905872,23971.71580075034,19100.197352634066,115.45592014878834,586.2429912138639,4,3,1997.957197392157,63397.76094912685,3439.7500592150272,197885.06427534984,61.25513570158067,21726.389190320915,626.6948761414247,17850.62366474905
