ExperimentID,ParallelTaskID,Replication,Controller,Fairness,Period,Phase,PhaseLabel,BuildTimeSec,SolveWallTimeSec,SolverTimeSec,PeakMemoryMB
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,1,lex_phase_1,0.003123044967651367,0.004576921463012695,0.002103090286254883,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,1,lex_phase_1,0.003977060317993164,0.0050048828125,0.002187013626098633,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,2,lex_phase_2,0.003123044967651367,0.0009491443634033203,0.0009069442749023438,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,2,lex_phase_2,0.003977060317993164,0.0010271072387695312,0.0009710788726806641,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,3,lex_phase_3,0.003123044967651367,0.0009438991546630859,0.0009009838104248047,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,3,lex_phase_3,0.003977060317993164,0.0010251998901367188,0.0009801387786865234,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,4,lex_phase_4,0.003123044967651367,0.0008490085601806641,0.0008060932159423828,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,4,lex_phase_4,0.003977060317993164,0.0009589195251464844,0.0009129047393798828,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,5,lex_phase_5,0.003123044967651367,0.0006749629974365234,0.0006339550018310547,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,5,lex_phase_5,0.003977060317993164,0.0007441043853759766,0.0006990432739257812,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,6,economic_tie_break,0.003123044967651367,0.0017390251159667969,0.0017018318176269531,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,1,6,economic_tie_break,0.003977060317993164,0.0018341541290283203,0.0017931461334228516,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,1,lex_phase_1,0.003123044967651367,0.004576921463012695,0.002103090286254883,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,1,lex_phase_1,0.003977060317993164,0.0050048828125,0.002187013626098633,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,2,lex_phase_2,0.003123044967651367,0.0009491443634033203,0.0009069442749023438,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,2,lex_phase_2,0.003977060317993164,0.0010271072387695312,0.0009710788726806641,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,3,lex_phase_3,0.003123044967651367,0.0009438991546630859,0.0009009838104248047,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,3,lex_phase_3,0.003977060317993164,0.0010251998901367188,0.0009801387786865234,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,4,lex_phase_4,0.003123044967651367,0.0008490085601806641,0.0008060932159423828,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,4,lex_phase_4,0.003977060317993164,0.0009589195251464844,0.0009129047393798828,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,5,lex_phase_5,0.003123044967651367,0.0006749629974365234,0.0006339550018310547,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,5,lex_phase_5,0.003977060317993164,0.0007441043853759766,0.0006990432739257812,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,6,economic_tie_break,0.003123044967651367,0.0017390251159667969,0.0017018318176269531,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,2,6,economic_tie_break,0.003977060317993164,0.0018341541290283203,0.0017931461334228516,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,1,lex_phase_1,0.003123044967651367,0.004576921463012695,0.002103090286254883,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,1,lex_phase_1,0.003977060317993164,0.0050048828125,0.002187013626098633,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,2,lex_phase_2,0.003123044967651367,0.0009491443634033203,0.0009069442749023438,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,2,lex_phase_2,0.003977060317993164,0.0010271072387695312,0.0009710788726806641,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,3,lex_phase_3,0.003123044967651367,0.0009438991546630859,0.0009009838104248047,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,3,lex_phase_3,0.003977060317993164,0.0010251998901367188,0.0009801387786865234,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,4,lex_phase_4,0.003123044967651367,0.0008490085601806641,0.0008060932159423828,2024.0859375
oos_experiment,TK-PB-Drahi_17-d1-HET-ULO-8c673aa6e5-r2,2,DETERMINISTIC_RH,LEXMMFPEA,3,4,lex_phase_4,0.003977060317993164,0.0009589195251464844,0.0009129047393798828,2024.0859375
