InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,251.78007764875565,125.7391197809159,477.0705819249982,140798.23541696853,124106.75832368906,150664.2883115099,40.39210823783478,0.0025563813115041588,273.2884166152053,20.962168216705322,2.97
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,250.7800776487459,152.5621172321225,357.22271142614204,147557.77243664808,141435.211447932,151074.02457673012,50.661303053364136,0.21588628946191374,304.29517617787496,20.962168216705322,2.97
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,250.52635374944805,130.39838922492225,381.7335664373238,147819.13295479215,145812.1794549679,150181.2792786612,48.927718670694084,0.011801617449270657,361.3670489345784,20.962168216705322,2.97
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,250.5263537494462,140.79518756336083,364.7251799666211,148979.8452851072,136210.1531354778,154331.90181801363,28.38207736257265,0.0028342336707178444,341.40815297587085,20.962168216705322,2.97
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,250.28752544736824,137.83258468123668,364.0583042355503,141104.2436771104,136636.32726657213,146705.90734318295,15.757274817741804,0.007402619588551738,362.7177823983576,20.962168216705322,2.97
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,312.59106826903263,142.60074839499208,460.4521482694297,128984.93984452826,117496.88701443313,143324.60294565148,42.54570201200117,0.003949265810058692,284.8525055977332,8.741302967071533,4.78
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,311.59106826903115,117.96273563845388,486.6195733074046,130980.6097114848,122202.49971489476,151514.098791784,20.065873663061236,0.0010769445530212313,263.3759403776063,8.741302967071533,4.78
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,313.0511500582771,183.57624659217032,433.0550091559635,148332.56440809453,133329.88282794843,158379.11109177175,26.75357499141984,0.03807519577200252,315.34753088193133,8.741302967071533,4.78
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,313.1309864797911,109.7766751888637,485.73829161735324,138128.47179202034,106687.14382824322,177267.56660567023,13.658823558040353,0.003122980005578714,388.9840560811558,8.741302967071533,4.78
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,312.5910682690298,128.924208831261,448.6236725353094,136855.15721971338,119882.49602993137,153837.274881244,12.425537099604837,0.006182387042976162,308.52534884722155,8.741302967071533,4.78
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,204.83039100614602,8.437648308001801,579.8551430355004,146675.9163411545,118358.0202465276,171017.25773620314,48.78373631791371,0.002207558161249952,331.80146567232913,10.79436707496643,4.92
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,203.99705767281526,11.493224490561676,546.3692985757026,145867.67628119362,117358.96615791085,163072.8477990961,49.7099472652817,0.012589326855425676,464.8365514881891,10.79436707496643,4.92
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,203.9970576728135,8.437648308001801,519.8667078935486,143533.9569219837,137683.74319708056,150348.7072672897,14.802639474173281,0.008551576479867247,364.58707645541597,10.79436707496643,4.92
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,203.99705767281378,12.823406036177278,526.5626838998429,147704.64506655166,137693.12062675133,155808.6198908183,11.620797515096877,0.002313232826311346,315.013146823966,10.79436707496643,4.92
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed2,5,1.0,1.0,LEXMMFPEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,204.83039100614604,8.437648308001803,572.7646786000413,150699.40661269147,135906.91009575565,161078.1173279172,20.592959976764522,0.00699386156878189,333.766737889395,10.79436707496643,4.92
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,168.7456949488454,0.0,538.8342125821715,137507.09970054645,100082.89037249601,176368.41467456426,25.636343893592972,0.0,501.6012047249553,9.909083127975464,6.23
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,168.74569494884466,0.0,553.5526880264113,135868.2326712772,91255.00256656788,170776.23063048246,40.996160589058796,0.0,457.2805247744949,9.909083127975464,6.23
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed2,5,1.0,1.0,LEXMMFPEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,168.2456949488453,0.0,485.93473447154173,153743.32607739247,146604.09321578924,169199.07753085459,4.063561066259695,0.0,69.06840949519487,9.909083127975464,6.23
