InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,254.10778745832062,125.7391197809159,455.1990336101273,142496.20931856777,131228.0243436862,147148.5356480698,0.04391427460994473,0.009131567045885712,0.07776850690734996,27.523196935653687,2.6
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,248.63701615801074,125.7391197809159,365.9238770248611,146771.1962287701,134549.88499112445,157640.33359129424,0.03899023161342923,0.008499468669225182,0.07813014117107338,27.523196935653687,2.6
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,252.3742868222061,142.61314093953644,403.6051147521947,147498.65779929608,144503.08195601916,151587.0924679939,0.01586686874534523,0.002453810194541786,0.029510560260753337,27.523196935653687,2.6
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,253.85686143551862,130.95647035880108,389.74369086169696,147307.72049284854,141693.48746700893,155501.38958584383,0.024170586710060536,0.0014599509918976246,0.04645323454221557,27.523196935653687,2.6
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed2,5,1.0,1.0,SA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,244.92443636970725,137.83258468123668,370.3570816569194,142185.4459311437,130859.29707001903,146659.41584537245,0.04933427520823495,0.01458274770252269,0.09721418410146727,27.523196935653687,2.6
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,304.60592277953003,96.5300454121714,474.7613021402744,131167.80794375896,116490.23654165783,145961.99091421266,0.05378614740864522,0.02250442566674204,0.08778459429668913,22.020403146743774,7.24
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,305.72188947553514,123.42130916295298,425.29113086809195,132487.20641010147,126402.05583539211,145195.98713423795,0.05006886197779111,6.778225260787115e-5,0.12851001527076647,22.020403146743774,7.24
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,331.5517567342929,181.0791462604783,447.69498792437497,145073.4074449784,131498.42033477302,154957.5255270821,0.018933586311522976,8.556719909845256e-7,0.06499806039701246,22.020403146743774,7.24
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,320.89243024314237,117.77667518886368,493.09950133609203,138538.46668657506,106942.63411397321,177567.1979099417,0.026165720753806864,2.5792577237164067e-5,0.10844483952976064,22.020403146743774,7.24
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed2,5,1.0,1.0,SA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,300.18334211266233,164.03343862127457,464.2659211503876,135969.2823574397,112049.74813719865,162170.81846426937,0.06869096701016712,0.028119006819824276,0.11299932452735918,22.020403146743774,7.24
